sub,sov,cond,trial_amount
28,N2EliwJKc,T_prevmid_3,5
29,N2EliwJKc,T_prevmid_3,5
30,N2EliwJKc,T_prevmid_3,3
31,N2EliwJKc,T_prevmid_3,4
32,N2EliwJKc,T_prevmid_3,5
33,N2EliwJKc,T_prevmid_3,4
34,N2EliwJKc,T_prevmid_3,4
35,N2EliwJKc,T_prevmid_3,2
36,N2EliwJKc,T_prevmid_3,3
37,N2EliwJKc,T_prevmid_3,2
38,N2EliwJKc,T_prevmid_3,8
01,N2EliwJKc,T_prevmid_4,2
02,N2EliwJKc,T_prevmid_4,0
03,N2EliwJKc,T_prevmid_4,4
04,N2EliwJKc,T_prevmid_4,0
08,N2EliwJKc,T_prevmid_4,0
09,N2EliwJKc,T_prevmid_4,2
10,N2EliwJKc,T_prevmid_4,4
11,N2EliwJKc,T_prevmid_4,8
13,N2EliwJKc,T_prevmid_4,2
14,N2EliwJKc,T_prevmid_4,2
15,N2EliwJKc,T_prevmid_4,4
16,N2EliwJKc,T_prevmid_4,3
17,N2EliwJKc,T_prevmid_4,4
19,N2EliwJKc,T_prevmid_4,2
20,N2EliwJKc,T_prevmid_4,2
21,N2EliwJKc,T_prevmid_4,4
23,N2EliwJKc,T_prevmid_4,3
24,N2EliwJKc,T_prevmid_4,7
25,N2EliwJKc,T_prevmid_4,3
26,N2EliwJKc,T_prevmid_4,0
27,N2EliwJKc,T_prevmid_4,2
28,N2EliwJKc,T_prevmid_4,2
29,N2EliwJKc,T_prevmid_4,5
30,N2EliwJKc,T_prevmid_4,7
31,N2EliwJKc,T_prevmid_4,4
32,N2EliwJKc,T_prevmid_4,4
33,N2EliwJKc,T_prevmid_4,4
34,N2EliwJKc,T_prevmid_4,6
35,N2EliwJKc,T_prevmid_4,3
36,N2EliwJKc,T_prevmid_4,2
37,N2EliwJKc,T_prevmid_4,4
38,N2EliwJKc,T_prevmid_4,4
01,N2EliwJKc,T_prevlow_1,3
02,N2EliwJKc,T_prevlow_1,2
03,N2EliwJKc,T_prevlow_1,8
04,N2EliwJKc,T_prevlow_1,2
08,N2EliwJKc,T_prevlow_1,6
09,N2EliwJKc,T_prevlow_1,2
10,N2EliwJKc,T_prevlow_1,7
