sub,sov,cond,trial_amount
03,N2,T1856_3,67
04,N2,T1856_3,57
08,N2,T1856_3,69
09,N2,T1856_3,83
10,N2,T1856_3,84
11,N2,T1856_3,57
13,N2,T1856_3,85
14,N2,T1856_3,28
15,N2,T1856_3,94
16,N2,T1856_3,91
17,N2,T1856_3,58
19,N2,T1856_3,104
20,N2,T1856_3,85
21,N2,T1856_3,85
23,N2,T1856_3,64
24,N2,T1856_3,113
25,N2,T1856_3,91
26,N2,T1856_3,33
27,N2,T1856_3,34
28,N2,T1856_3,93
29,N2,T1856_3,76
30,N2,T1856_3,116
31,N2,T1856_3,90
32,N2,T1856_3,64
33,N2,T1856_3,112
34,N2,T1856_3,60
35,N2,T1856_3,65
36,N2,T1856_3,55
37,N2,T1856_3,62
38,N2,T1856_3,94
02,N2,T2413_3,44
03,N2,T2413_3,73
04,N2,T2413_3,58
08,N2,T2413_3,67
09,N2,T2413_3,81
10,N2,T2413_3,79
11,N2,T2413_3,54
13,N2,T2413_3,87
14,N2,T2413_3,25
15,N2,T2413_3,94
16,N2,T2413_3,81
17,N2,T2413_3,58
19,N2,T2413_3,94
20,N2,T2413_3,82
21,N2,T2413_3,98
23,N2,T2413_3,62
24,N2,T2413_3,111
25,N2,T2413_3,87
26,N2,T2413_3,27
27,N2,T2413_3,41
28,N2,T2413_3,97
29,N2,T2413_3,76
30,N2,T2413_3,122
31,N2,T2413_3,87
32,N2,T2413_3,68
33,N2,T2413_3,121
34,N2,T2413_3,56
35,N2,T2413_3,64
36,N2,T2413_3,58
37,N2,T2413_3,62
38,N2,T2413_3,83
02,N2,T3137_3,48
03,N2,T3137_3,77
04,N2,T3137_3,58
08,N2,T3137_3,66
09,N2,T3137_3,82
10,N2,T3137_3,77
11,N2,T3137_3,56
13,N2,T3137_3,82
14,N2,T3137_3,30
15,N2,T3137_3,92
16,N2,T3137_3,89
17,N2,T3137_3,48
19,N2,T3137_3,92
20,N2,T3137_3,80
21,N2,T3137_3,84
23,N2,T3137_3,60
24,N2,T3137_3,111
25,N2,T3137_3,91
26,N2,T3137_3,29
27,N2,T3137_3,32
28,N2,T3137_3,96
29,N2,T3137_3,76
30,N2,T3137_3,120
31,N2,T3137_3,87
32,N2,T3137_3,61
33,N2,T3137_3,115
34,N2,T3137_3,55
35,N2,T3137_3,66
36,N2,T3137_3,49
37,N2,T3137_3,55
38,N2,T3137_3,83
02,N2,T4079_3,49
03,N2,T4079_3,72
04,N2,T4079_3,58
08,N2,T4079_3,69
09,N2,T4079_3,78
10,N2,T4079_3,88
11,N2,T4079_3,50
13,N2,T4079_3,92
14,N2,T4079_3,29
15,N2,T4079_3,96
16,N2,T4079_3,88
17,N2,T4079_3,50
19,N2,T4079_3,101
20,N2,T4079_3,80
21,N2,T4079_3,90
23,N2,T4079_3,58
24,N2,T4079_3,108
25,N2,T4079_3,90
26,N2,T4079_3,27
27,N2,T4079_3,35
28,N2,T4079_3,100
29,N2,T4079_3,83
30,N2,T4079_3,122
31,N2,T4079_3,87
32,N2,T4079_3,59
